Label (Grouping),Alabama!!Estimate,Alaska!!Estimate,Arizona!!Estimate,Arkansas!!Estimate,California!!Estimate,Colorado!!Estimate,Connecticut!!Estimate,Delaware!!Estimate,District of Columbia!!Estimate,Florida!!Estimate,Georgia!!Estimate,Hawaii!!Estimate,Idaho!!Estimate,Illinois!!Estimate,Indiana!!Estimate,Iowa!!Estimate,Kansas!!Estimate,Kentucky!!Estimate,Louisiana!!Estimate,Maine!!Estimate,Maryland!!Estimate,Massachusetts!!Estimate,Michigan!!Estimate,Minnesota!!Estimate,Mississippi!!Estimate,Missouri!!Estimate,Montana!!Estimate,Nebraska!!Estimate,Nevada!!Estimate,New Hampshire!!Estimate,New Jersey!!Estimate,New Mexico!!Estimate,New York!!Estimate,North Carolina!!Estimate,North Dakota!!Estimate,Ohio!!Estimate,Oklahoma!!Estimate,Oregon!!Estimate,Pennsylvania!!Estimate,Rhode Island!!Estimate,South Carolina!!Estimate,South Dakota!!Estimate,Tennessee!!Estimate,Texas!!Estimate,Utah!!Estimate,Vermont!!Estimate,Virginia!!Estimate,Washington!!Estimate,West Virginia!!Estimate,Wisconsin!!Estimate,Wyoming!!Estimate,Puerto Rico!!Estimate
        20 years,"36,614","5,676","45,508","18,719","253,659","37,189","26,602","8,114","3,450","135,543","70,874","7,078","12,612","76,727","50,986","24,716","20,439","27,712","36,411","7,354","35,692","48,517","69,735","35,667","20,414","41,654","6,479","13,706","21,254","8,268","52,408","13,577","130,588","76,974","4,914","78,004","26,292","25,567","87,046","7,415","31,489","6,283","45,484","200,068","24,460","6,010","55,771","38,536","10,967","40,744","5,333","18,342"
        21 years,"32,968","3,438","52,940","20,136","261,325","36,166","22,700","5,290","4,823","127,727","81,000","6,875","13,490","77,830","50,061","23,272","22,688","27,080","32,810","7,626","31,949","46,357","73,146","36,759","24,313","42,656","7,949","12,032","16,437","6,648","50,830","13,428","126,858","67,301","5,205","76,499","30,398","24,223","87,389","6,952","35,397","5,426","46,153","203,110","31,869","4,002","61,339","45,134","12,461","40,692","2,761","27,173"
        22 to 24 years,"100,951","13,547","155,285","61,186","766,572","114,386","72,342","15,923","18,057","394,890","227,591","25,863","42,113","263,089","137,214","64,798","59,502","93,610","81,934","24,208","119,154","151,013","194,947","108,386","58,461","118,211","19,801","38,652","56,542","24,816","178,070","43,406","391,711","215,603","17,308","219,392","81,151","76,601","234,179","23,696","104,560","17,427","140,484","640,004","88,589","11,119","177,238","151,160","34,489","117,354","9,661","61,899"
        25 to 29 years,"155,194","23,138","241,073","94,582","1,334,198","212,220","106,285","31,035","39,184","649,714","365,701","42,410","59,533","410,807","212,605","94,733","90,508","140,303","139,735","40,442","191,537","237,950","312,920","176,072","84,763","196,827","34,536","63,304","106,368","41,044","281,227","63,766","675,561","346,622","26,776","366,219","127,427","137,582","391,680","35,137","159,132","25,594","236,274","1,039,623","121,672","18,376","272,475","267,525","46,762","177,983","16,234","104,293"
        30 to 34 years,"174,536","27,910","247,176","98,488","1,445,110","223,394","114,856","34,958","38,600","713,694","385,569","48,012","64,067","421,658","225,476","99,160","92,919","146,650","158,186","42,519","212,086","242,291","327,537","183,859","93,896","206,383","35,341","61,378","115,717","45,385","298,948","68,931","698,294","371,388","25,744","389,969","134,280","153,279","429,151","37,841","178,913","26,205","248,424","1,079,650","118,166","19,056","293,554","295,677","50,003","179,141","17,121","97,399"
        35 to 39 years,"158,639","25,595","228,296","95,845","1,337,059","206,707","119,931","29,858","30,545","694,433","371,353","48,535","57,891","416,026","222,048","102,118","98,803","139,112","163,380","43,436","215,675","233,327","304,799","196,733","94,460","203,003","36,240","66,619","110,663","41,819","308,690","68,233","651,396","355,830","27,047","357,985","132,329","145,643","412,846","34,169","166,405","24,774","231,283","1,046,639","112,039","21,284","290,741","281,115","47,247","184,027","20,667","104,266"
        40 to 44 years,"165,629","24,169","221,922","98,950","1,282,856","203,613","113,088","34,120","25,590","694,407","380,726","45,262","66,196","410,681","209,282","96,261","86,773","145,263","149,248","40,887","209,910","221,074","298,756","185,327","100,421","193,872","35,950","60,789","103,434","42,599","301,495","68,327","614,960","338,228","23,921","374,299","129,508","143,771","386,648","33,723","172,975","30,874","227,744","1,030,665","113,911","19,207","297,148","259,081","60,578","178,622","19,202","108,198"
        45 to 49 years,"152,839","18,694","207,154","88,273","1,185,773","169,217","109,305","26,648","18,311","653,405","346,926","40,943","53,189","379,358","194,931","86,599","77,575","133,284","131,670","38,262","187,310","204,635","283,022","151,983","89,700","172,490","29,405","51,693","95,950","38,355","287,702","57,385","579,088","332,139","16,996","330,578","113,830","128,402","358,756","30,155","153,731","23,111","207,732","923,792","96,725","17,284","261,394","226,411","50,746","160,045","14,826","104,080"
        50 to 54 years,"164,732","19,870","218,322","93,057","1,223,119","171,227","122,238","31,094","17,028","713,854","368,162","42,719","53,577","396,263","208,698","88,618","81,380","142,576","138,656","45,562","209,275","229,646","317,261","165,644","90,040","184,181","30,645","53,423","99,418","46,996","312,387","61,127","636,735","352,925","17,859","369,899","113,208","128,280","408,380","35,200","168,315","23,268","227,177","904,225","84,461","20,507","275,588","228,669","56,987","179,316","16,333","109,601"
        55 to 59 years,"162,938","21,208","208,324","95,155","1,172,731","162,496","131,528","33,477","15,823","748,649","349,346","41,696","53,175","404,081","208,252","94,946","83,076","142,032","133,810","51,729","213,800","240,198","332,196","173,698","86,536","192,262","33,351","53,145","96,422","53,715","316,074","64,040","672,708","341,971","22,143","375,580","115,549","116,750","423,179","37,013","170,518","25,364","228,121","820,104","74,781","20,050","280,062","224,908","58,000","196,119","17,332","118,592"
        60 and 61 years,"72,509","6,945","92,117","41,101","488,680","72,752","52,137","15,752","7,264","316,565","137,214","19,294","21,917","168,083","90,916","42,340","39,869","64,449","69,030","23,038","87,804","95,467","143,327","79,394","41,130","87,126","14,953","24,630","39,721","22,150","126,493","26,083","273,750","140,744","9,420","163,441","49,364","58,273","180,541","16,790","75,706","13,108","95,584","357,200","33,306","11,040","109,075","94,124","25,075","84,943","7,477","45,662"
        62 to 64 years,"105,963","12,753","145,738","58,686","696,274","111,051","80,933","25,467","9,495","476,237","208,120","27,507","37,633","243,711","136,742","63,914","57,069","94,115","98,889","33,206","126,303","152,018","216,121","119,614","63,132","130,419","24,326","39,678","57,319","33,423","199,710","45,405","401,288","222,713","13,166","246,526","77,776","85,307","295,091","25,468","118,444","19,636","144,934","499,973","46,915","17,014","179,614","147,882","39,107","128,470","11,859","73,790"
        65 and 66 years,"67,095","7,509","89,829","38,294","440,117","69,609","45,033","15,955","7,062","306,060","119,625","19,889","23,421","152,797","81,089","38,240","34,870","59,281","56,650","22,758","77,146","87,300","134,808","68,461","36,827","76,473","16,388","22,332","37,940","19,157","114,489","27,725","242,321","131,944","9,404","155,655","49,017","52,430","174,489","15,916","76,636","10,303","90,358","304,012","28,704","9,568","107,115","92,036","25,947","77,798","6,842","46,826"
        67 to 69 years,"96,844","12,862","133,790","54,739","600,722","91,151","64,511","22,576","9,309","434,982","171,043","26,796","33,460","209,880","111,409","55,103","48,347","81,176","81,641","30,253","107,294","126,603","188,759","92,376","51,722","109,598","22,507","31,356","53,374","26,066","155,915","42,805","337,288","195,077","12,368","212,062","62,509","83,297","250,302","19,191","99,621","16,832","124,648","415,786","40,498","13,969","139,350","129,124","33,290","108,998","12,626","61,643"
        70 to 74 years,"130,885","13,550","191,990","75,602","848,023","133,514","92,003","29,475","11,718","655,634","252,362","37,713","46,031","305,897","169,901","80,964","70,677","112,756","114,045","43,832","144,619","175,082","265,262","136,858","78,448","159,779","31,732","47,885","79,286","42,286","222,516","57,315","503,970","277,264","16,436","310,488","95,123","121,017","346,376","28,146","151,626","23,030","175,723","582,454","56,961","18,903","210,546","191,308","58,476","148,748","14,490","104,121"
        75 to 79 years,"102,396","7,979","157,419","57,130","646,358","91,947","69,130","23,109","9,727","550,294","179,359","31,655","33,692","227,800","127,698","59,640","49,387","83,881","81,900","30,579","112,904","129,470","185,671","101,505","52,331","116,727","21,520","33,655","58,136","27,284","176,104","40,623","377,512","203,754","12,342","220,965","74,205","82,615","267,799","22,214","108,273","14,825","130,301","413,760","40,046","13,550","158,372","132,927","37,412","106,639","9,353","94,526"
        80 to 84 years,"59,014","5,789","95,014","38,701","410,800","57,093","43,548","13,615","6,494","348,937","110,306","20,665","19,027","151,562","75,407","41,109","35,125","49,492","53,382","20,684","71,940","86,576","124,108","61,943","36,653","80,321","13,984","23,387","31,569","17,685","111,599","27,325","262,473","124,704","8,769","148,158","42,212","48,480","170,652","13,837","65,035","9,759","80,438","260,916","25,766","10,160","98,075","81,363","24,919","72,252","6,865","63,567"
        85 years and over,"56,854","3,410","77,920","34,041","452,182","51,417","54,529","11,916","6,844","335,950","91,943","23,741","18,417","157,874","77,364","45,127","38,336","50,765","46,338","20,875","75,344","98,474","129,762","75,098","33,182","75,364","11,961","23,004","25,971","18,979","124,313","23,283","283,382","112,157","10,889","154,060","41,712","53,037","199,980","16,226","57,937","13,354","74,310","243,039","21,761","7,982","95,699","83,681","24,586","77,469","5,017","60,451"
